iter	Accuracy	Logloss
289	0.9502855508	0.1216288114
290	0.9502643597	0.1215791942
291	0.9503703154	0.121474762
292	0.9504762712	0.1213198088
293	0.9505928226	0.1211311455
294	0.9506775872	0.1210540619
295	0.9506987783	0.1209439886
296	0.9507411606	0.1208753796
297	0.9507835429	0.1207296965
298	0.9508365208	0.1206299079
299	0.9508365208	0.1205415408
300	0.950857712	0.1204576132
301	0.950931881	0.1203840698
302	0.9510166457	0.1203021041
303	0.9510378368	0.1202450926
304	0.9510696235	0.1201327171
305	0.9511226014	0.1199888961
306	0.9511543882	0.1198648358
307	0.9511649837	0.1197280466
308	0.9511437926	0.1196457231
309	0.9511755793	0.1195834792
310	0.9512603439	0.1194836057
311	0.9513451086	0.119382527
312	0.9513662997	0.1193065684
313	0.951408682	0.119185644
314	0.9514722555	0.1191194297
315	0.9515252334	0.1190236666
316	0.951609998	0.1189806478
317	0.9516311891	0.1189066382
318	0.9515782113	0.1188104753
319	0.9516523803	0.1187377828
320	0.9516311891	0.1186778763
321	0.9516629759	0.1185430912
322	0.9517053582	0.1183479149
323	0.9517689316	0.1182576069
324	0.951811314	0.1181748826
325	0.9518325051	0.1180912313
326	0.9518325051	0.1180364912
327	0.9518219095	0.117850427
328	0.9519172697	0.1177858327
329	0.9520232255	0.1176956009
330	0.9520762034	0.1175960406
331	0.9520232255	0.1175336547
332	0.9520444167	0.1174327205
333	0.952160968	0.1173448174
334	0.952160968	0.1172742374
335	0.9521503724	0.1171839181
336	0.9522457326	0.1171152285
337	0.952362284	0.1169307222
338	0.9523940707	0.1168624389
339	0.9524576442	0.116804253
340	0.9524788353	0.1167473409
341	0.9525530044	0.1166303059
342	0.9526059823	0.1165813404
343	0.9526589602	0.1165089082
344	0.9525953867	0.1164381723
345	0.9526801513	0.1163731098
346	0.9527225336	0.1163281404
347	0.9528178938	0.1162622353
348	0.9527437248	0.1161957507
349	0.9527967027	0.1161474088
350	0.9527225336	0.1160468091
351	0.9528178938	0.1159645061
352	0.9528284894	0.1158866526
353	0.952913254	0.1157740966
354	0.9529238496	0.1157256087
355	0.9530404009	0.1156472236
356	0.9530404009	0.1155878084
357	0.9530192098	0.1155092341
358	0.9531039744	0.1154365294
359	0.9530827832	0.115352863
360	0.9532205258	0.1152927574
361	0.9531993346	0.1152157665
362	0.9532946948	0.1151689201
363	0.9531463567	0.1150634049
364	0.9532205258	0.1149907198
365	0.9532417169	0.114927805
366	0.9532840992	0.1148647899
367	0.9532840992	0.1148185395
368	0.9533794594	0.1146693418
369	0.9533582683	0.114618302
370	0.9533476727	0.1145475895
371	0.953390055	0.1144947853
372	0.9533688638	0.1144320108
373	0.9534218417	0.1143625849
374	0.953390055	0.1143034131
375	0.9533794594	0.1141587166
376	0.9533794594	0.1140440944
377	0.9534430329	0.1139441178
378	0.9534536285	0.1137642311
379	0.9534430329	0.113695125
380	0.9534430329	0.1135699874
381	0.9534854152	0.1134562585
382	0.9534536285	0.1133991615
383	0.9534430329	0.1133247196
384	0.9535277975	0.1132708306
385	0.9534854152	0.1131876235
386	0.9536125621	0.1130613385
387	0.9536337533	0.1129704591
388	0.9536549444	0.1129053912
389	0.9536549444	0.1128447444
390	0.9536867312	0.1127923854
391	0.9537714958	0.1127221295
392	0.9537820914	0.112645011
393	0.9537926869	0.1124901746
394	0.9538456648	0.1123734722
395	0.9538244737	0.1123069998
396	0.9538562604	0.1122245272
397	0.9538562604	0.1121698494
398	0.9539304294	0.1121200572
399	0.953941025	0.1120675439
400	0.9539516206	0.111952231
401	0.9539940029	0.1119041823
402	0.9540257896	0.1118493502
403	0.9540151941	0.1117834851
404	0.9540469808	0.111743202
405	0.9541317454	0.111684145
406	0.9540999587	0.11160603
407	0.9541635321	0.1115379418
408	0.954142341	0.1114697098
409	0.9541529366	0.1113662368
410	0.9541635321	0.1113055691
411	0.9542059145	0.1112224308
412	0.9542482968	0.1111869496
413	0.9542800835	0.1111416152
414	0.9542588923	0.1110840228
415	0.9542800835	0.1110058298
416	0.9543542525	0.110976259
417	0.9543754437	0.1109207553
418	0.9543224658	0.1108717525
419	0.9543542525	0.1107435675
420	0.9543966348	0.1106908868
421	0.9544496127	0.1106531463
422	0.9544072304	0.110580661
423	0.9543860393	0.1105165477
424	0.9544284216	0.1104629507
425	0.9545343774	0.1104087377
426	0.9545449729	0.1103524952
427	0.9545979508	0.1102998256
428	0.9546297375	0.1102465848
429	0.9546297375	0.1101527434
430	0.9546403331	0.1101069682
431	0.9545979508	0.1100276452
432	0.9546403331	0.1099853029
433	0.9547250977	0.1099131709
434	0.9547992668	0.1098571798
435	0.9548098624	0.1098111167
436	0.9547886712	0.1097209505
437	0.9547780756	0.1096727571
438	0.9548098624	0.1096230107
439	0.9549052226	0.1095774715
440	0.954894627	0.1095447689
441	0.9549370093	0.1095032063
442	0.9549476049	0.1094009684
443	0.9549793916	0.1093445699
444	0.9549793916	0.1092839042
445	0.9550429651	0.1092513575
446	0.9549899872	0.1091955726
447	0.9550111783	0.109162926
448	0.9550747518	0.109127893
449	0.9550323695	0.1090829945
450	0.9550217739	0.1090323226
451	0.9550323695	0.1089397813
452	0.9550747518	0.1088732561
453	0.9550747518	0.1088302017
454	0.9551171341	0.1087425859
455	0.9551383253	0.1087003958
456	0.9551171341	0.1086614634
457	0.9551277297	0.108595137
458	0.9552018987	0.1085325769
459	0.9551913032	0.1084736687
460	0.9551913032	0.1083838086
461	0.955244281	0.1083502502
462	0.9553290457	0.1083126824
463	0.9553184501	0.1082621064
464	0.9553184501	0.1082264684
465	0.9553290457	0.1081813144
466	0.955371428	0.108125589
467	0.9553820235	0.1080844917
468	0.955371428	0.1080388555
469	0.9554138103	0.107995215
470	0.955445597	0.1079259392
471	0.9554244059	0.1078910047
472	0.9554561926	0.1077993223
473	0.9555303616	0.1077480186
474	0.9555939351	0.1076891119
475	0.9556363174	0.1076481421
476	0.9556363174	0.1076068253
477	0.9556151262	0.107571192
478	0.9556363174	0.1075398199
479	0.9556363174	0.1074641059
480	0.9556998909	0.1074219683
481	0.9556681041	0.107383763
482	0.9556681041	0.1073407605
483	0.9558058466	0.1072981996
484	0.9558588245	0.1072575516
485	0.9558164422	0.1072143831
486	0.9558482289	0.1071782754
487	0.9559329936	0.1071136417
488	0.9559647803	0.10706816
489	0.9559647803	0.1070164683
490	0.9559118024	0.1069664598
491	0.9559012068	0.1068808458
492	0.9559329936	0.1067974524
493	0.9559012068	0.1067590024
494	0.955922398	0.1067225559
495	0.9559647803	0.1066686105
496	0.9559753759	0.1066440114
497	0.9559859715	0.1066100229
498	0.9559859715	0.1065765692
499	0.9559647803	0.1065310754
500	0.9560601405	0.1064895198
501	0.9560389493	0.1064438202
502	0.9561343095	0.1064012665
503	0.9561660963	0.1063659845
504	0.9561449051	0.1063245671
505	0.9561449051	0.1062509582
506	0.956197883	0.1061629801
507	0.9561555007	0.106075667
508	0.9561766918	0.1060077485
509	0.9561766918	0.1059582175
510	0.9561660963	0.1059208064
511	0.9562190742	0.1058858129
512	0.9562614565	0.1058420909
513	0.956272052	0.1057996802
514	0.9563144344	0.1057384719
515	0.9563674122	0.1057004273
516	0.9564203901	0.1056815621
517	0.956399199	0.1056494996
518	0.9564203901	0.1055991972
519	0.9564309857	0.1055646881
520	0.9564309857	0.1055047209
521	0.9564521769	0.1054668345
522	0.9565581326	0.1053861574
523	0.9566323017	0.105347437
524	0.9566323017	0.1053096355
525	0.9566217061	0.1052762334
526	0.9566111105	0.1052442548
527	0.9566005149	0.1051933337
528	0.9566534928	0.1051100779
529	0.9566852796	0.1050824641
530	0.9567700442	0.1050497559
531	0.9568018309	0.1050080066
532	0.9568654044	0.1049728619
533	0.9568336176	0.1049358036
534	0.9568548088	0.1049108406
535	0.9568018309	0.1048546103
536	0.9568442132	0.1047963473
537	0.9568865955	0.1046926884
538	0.9569183823	0.1046651886
539	0.9569183823	0.1046444852
540	0.9569819557	0.1046003875
541	0.9570137425	0.1045614709
542	0.9569925513	0.1045148297
543	0.9569925513	0.1044821928
544	0.9569925513	0.1044376701
545	0.957024338	0.1043989503
546	0.9570561248	0.1043404853
547	0.9570455292	0.1042638616
548	0.9570667204	0.1042242651
549	0.9570455292	0.1041813703
550	0.9570137425	0.1041492676
551	0.9570879115	0.1041030028
552	0.9571408894	0.1040669507
553	0.9571938673	0.1039853588
554	0.9573104186	0.1039517187
555	0.9572680363	0.1039159855
556	0.9572892275	0.1038748032
557	0.9573316098	0.1038430929
558	0.9573633965	0.1037723891
559	0.9573739921	0.1037372613
560	0.9573951833	0.103710401
561	0.9573845877	0.1036796078
562	0.9574163744	0.1036435485
563	0.9573951833	0.1035740925
564	0.9573951833	0.1035555176
565	0.9574799479	0.1035144616
566	0.9574481611	0.1034953552
567	0.957501139	0.1034572823
568	0.9575753081	0.1034063371
569	0.9575964992	0.1033339008
570	0.957628286	0.1033014701
571	0.9576494771	0.1032858861
572	0.957628286	0.1032703845
573	0.9576388815	0.1032231205
574	0.9575964992	0.1031696571
575	0.9577236462	0.1031438088
576	0.957776624	0.1031014291
577	0.957776624	0.1030586789
578	0.9577448373	0.1029915298
579	0.9577130506	0.1029661045
580	0.9578190063	0.1029198677
581	0.9578296019	0.1028933365
582	0.9577872196	0.1028544932
583	0.9577872196	0.1028297353
584	0.9577978152	0.1028134492
585	0.9578190063	0.1027651785
586	0.957776624	0.1027515848
587	0.9577978152	0.1027255908
588	0.9578931754	0.1026561382
589	0.9579355577	0.1026110209
590	0.9579143665	0.1025331086
591	0.9579355577	0.102478934
592	0.9579567489	0.1024363104
593	0.95797794	0.1023668903
594	0.9580097267	0.1023027888
595	0.9579885356	0.1022786433
596	0.9580097267	0.1022510454
597	0.9580097267	0.1022219128
598	0.9580627046	0.1021841166
599	0.958052109	0.1021311926
600	0.9580733002	0.1020951766
601	0.9580627046	0.1020250567
602	0.9580838958	0.1020108256
603	0.958052109	0.1019466526
604	0.9581262781	0.1019098407
605	0.9581474692	0.1018472651
606	0.9581262781	0.1018148655
607	0.9581474692	0.1017878232
608	0.9581474692	0.1017418291
609	0.9581368737	0.1017051936
610	0.9581368737	0.1016617433
611	0.9581474692	0.1016523035
612	0.9581898516	0.1015936921
613	0.9582110427	0.1015516494
614	0.9582004471	0.1015201403
615	0.9582322339	0.1014745366
616	0.9582322339	0.1014554577
617	0.958253425	0.101416858
618	0.9582958073	0.1013812971
619	0.9582746162	0.1013397776
620	0.9583064029	0.1013064772
621	0.9582958073	0.1012837059
622	0.9583487852	0.1012513567
623	0.9583593808	0.1012280025
624	0.9584123587	0.1011824068
625	0.9583805719	0.1011037199
626	0.9583805719	0.1010928085
627	0.9583699764	0.1010722718
628	0.9583699764	0.1010448741
629	0.9584123587	0.1009940692
630	0.958454741	0.1009513227
631	0.958454741	0.1008904952
632	0.9584865277	0.1008385001
633	0.9584971233	0.1008159796
634	0.9584971233	0.1007718349
635	0.95852891	0.1007332711
636	0.9585183145	0.1006972811
637	0.95852891	0.100679152
638	0.9585501012	0.1006450152
639	0.95852891	0.1006109036
640	0.95852891	0.1005716073
641	0.958656057	0.1005103673
642	0.9586454614	0.1004730809
643	0.9586984393	0.1004358035
644	0.958730226	0.1004026331
645	0.958730226	0.1003813243
646	0.9587620127	0.1003560572
647	0.9588149906	0.1003071246
648	0.958804395	0.1002715173
649	0.9588785641	0.1002302265
650	0.9588997552	0.1002007484
651	0.958931542	0.1001327988
652	0.9589209464	0.1000928367
653	0.9589633287	0.1000651044
654	0.9589103508	0.09997601658
655	0.958931542	0.09993703953
656	0.9589633287	0.09989896421
657	0.9589209464	0.09985750691
658	0.958931542	0.09982351589
659	0.958931542	0.09979133741
660	0.9589209464	0.09976509923
661	0.9589633287	0.09972901665
662	0.9589633287	0.09969861142
663	0.9590163066	0.09967373914
664	0.9590586889	0.09963987685
665	0.9590374977	0.09962255365
666	0.9590904756	0.09959529943
667	0.9590798801	0.0995633346
668	0.9591010712	0.09953332172
669	0.9591434535	0.09949404601
670	0.9591964314	0.09947322367
671	0.9591858358	0.09944399873
672	0.9591540491	0.09941088289
673	0.9591752403	0.09933547537
674	0.9591964314	0.09930263137
675	0.959281196	0.09925974742
676	0.9593341739	0.09922437973
677	0.959281196	0.09920893912
678	0.9592494093	0.09916859702
679	0.9593023872	0.09914384343
680	0.9593129828	0.09910975814
681	0.9592917916	0.09908316738
682	0.9593447695	0.09904027794
683	0.9593659606	0.09898958589
684	0.959408343	0.09895522691
685	0.959408343	0.09893248309
686	0.959408343	0.09890829144
687	0.9593977474	0.09888536118
688	0.959408343	0.09885929198
689	0.9593871518	0.09882229508
690	0.9594189385	0.09877886471
691	0.9593977474	0.09873900747
692	0.9594295341	0.09871005602
693	0.9594401297	0.09868336395
694	0.9594401297	0.09867196016
695	0.9594295341	0.09865682363
696	0.9594719164	0.09863408208
697	0.9594931076	0.09860055385
698	0.959482512	0.09855746244
699	0.9595037032	0.09853664072
700	0.9596414457	0.09849845952
701	0.9596308501	0.09847183156
702	0.9597262103	0.09844102384
703	0.9596414457	0.09840751629
704	0.9597156147	0.09836973541
705	0.9597050191	0.09834614384
706	0.9597262103	0.09830800789
707	0.9597897837	0.09828130232
708	0.959757997	0.09825222655
709	0.9597474014	0.09822281538
710	0.9597368059	0.09818979113
711	0.9598427616	0.09815064594
712	0.9598745484	0.09812265634
713	0.9598639528	0.09809525174
714	0.9598427616	0.09801779316
715	0.9599063351	0.09797385533
716	0.9599487174	0.0979292866
717	0.9598957395	0.09789814264
718	0.9599381218	0.09787256144
719	0.9599910997	0.09780775466
720	0.9600652688	0.09775707293
721	0.9601076511	0.09771437424
722	0.9600758643	0.09766236196
723	0.9600546732	0.09763017931
724	0.9600864599	0.097595612
725	0.9601182466	0.09757651672
726	0.9601712245	0.0975433468
727	0.9601500334	0.09751492928
728	0.9601712245	0.09749447022
729	0.9602136068	0.09743879104
730	0.960160629	0.0974209402
731	0.9601924157	0.09739783269
732	0.9601924157	0.09736221373
733	0.9602136068	0.09728733245
734	0.9602136068	0.09726458735
735	0.960234798	0.09722485251
736	0.9602559892	0.09720844752
737	0.9602771803	0.09717748676
738	0.9602453936	0.09715236735
739	0.960234798	0.09713129795
740	0.960234798	0.09712061993
741	0.9602030113	0.09708642684
742	0.9601924157	0.09706508738
743	0.9602136068	0.09702304145
744	0.9602559892	0.09697799348
745	0.9603195626	0.09691152441
746	0.9603301582	0.09688034767
747	0.9603407538	0.09685499177
748	0.9603725405	0.09682694459
749	0.9604573051	0.09678767915
750	0.9604890919	0.09676179507
751	0.9604573051	0.09671519421
752	0.9604784963	0.09668829936
753	0.9604784963	0.09664703538
754	0.9604784963	0.09663263737
755	0.9605208786	0.09660363213
756	0.9604784963	0.09658336992
757	0.9604890919	0.09656945963
758	0.9604784963	0.09654392631
759	0.9605420697	0.09651667885
760	0.9605526653	0.09649677323
761	0.9605526653	0.09647662603
762	0.9606056432	0.09645647843
763	0.9606162388	0.09643833682
764	0.9605526653	0.09639738032
765	0.9606162388	0.09637484409
766	0.9606268344	0.09634605207
767	0.9606586211	0.09631684646
768	0.9606586211	0.09629663943
769	0.9606480255	0.09628464508
770	0.9606480255	0.09625382465
771	0.9606162388	0.09622642466
772	0.9606692167	0.09619960893
773	0.9607010034	0.09617812602
774	0.9607221946	0.09613301583
775	0.9607221946	0.09609780038
776	0.9607327901	0.09605556286
777	0.9607433857	0.09603266778
778	0.9607539813	0.09599730989
779	0.9607963636	0.09597096571
780	0.9608175548	0.09594807854
781	0.9608493415	0.0959122917
782	0.9608599371	0.09589235411
783	0.9609023194	0.09587088939
784	0.9608493415	0.09584700438
785	0.9608175548	0.09578827422
786	0.9608917238	0.09576511081
787	0.9608811282	0.09575023505
788	0.9609023194	0.09572297907
789	0.9609235105	0.09570925203
790	0.9609764884	0.0956929595
791	0.960987084	0.09567482545
792	0.9610082751	0.09564530812
793	0.9610082751	0.09561515611
794	0.961061253	0.09558602759
795	0.9610188707	0.09556062284
796	0.9610400619	0.09551004693
797	0.9610400619	0.0954936153
798	0.9611672088	0.09545804115
799	0.9611460177	0.09542353145
800	0.9611354221	0.09538806784
801	0.9611354221	0.09532919054
802	0.9611354221	0.09526785469
803	0.9611672088	0.09524440602
804	0.9611354221	0.09521689469
805	0.9611778044	0.09519991091
806	0.9611989955	0.09517904321
807	0.9612095911	0.09516137724
808	0.9611884	0.0951012069
809	0.9611989955	0.09508982574
810	0.961262569	0.09505730733
811	0.9612307823	0.09502417761
812	0.9612731646	0.09500140373
813	0.9613261425	0.09494976438
814	0.9613049513	0.09490920613
815	0.9613473336	0.09488757603
816	0.9613897159	0.09484867474
817	0.9614109071	0.09483428275
818	0.9614320982	0.09481595077
819	0.9614215027	0.094791311
820	0.9614003115	0.09475689897
821	0.9614215027	0.09472797661
822	0.9614956717	0.0946961882
823	0.9614744806	0.09466173827
824	0.9614744806	0.09464476941
825	0.9614744806	0.09462096608
826	0.9614744806	0.09459235262
827	0.9614850761	0.09457087996
828	0.9615168629	0.09452956769
829	0.9615592452	0.09451665972
830	0.9616122231	0.09448833414
831	0.9616016275	0.09447038567
832	0.9616334142	0.09445441475
833	0.9616757965	0.09442279894
834	0.9616969877	0.09437609721
835	0.9616757965	0.09433609528
836	0.9617605611	0.09430660456
837	0.9617181788	0.09428229062
838	0.9617499656	0.09426258726
839	0.9617499656	0.0942440865
840	0.9617499656	0.09420931241
841	0.9617605611	0.09417891924
842	0.9618029435	0.09415447195
843	0.961813539	0.09412223561
844	0.9618771125	0.09409497884
845	0.9619194948	0.09406831191
846	0.961940686	0.09403300425
847	0.9619512815	0.09402060134
848	0.9619618771	0.09399228467
849	0.9619512815	0.09396582945
850	0.9619936638	0.0939471473
851	0.962014855	0.09393192523
852	0.962014855	0.09390416657
853	0.962014855	0.09387778389
854	0.9619724727	0.09384352602
855	0.9620360462	0.09382277201
856	0.9620466417	0.09380554659
857	0.9620996196	0.0937792016
858	0.9620360462	0.09373492545
859	0.9620360462	0.0937112242
860	0.962089024	0.09368123978
861	0.9620466417	0.09362691069
862	0.9621208108	0.09361416455
863	0.9621208108	0.09356688238
864	0.9621420019	0.09354644286
865	0.9621949798	0.09351812943
866	0.9621949798	0.09349304221
867	0.9621737887	0.09346762454
868	0.9621843842	0.09344140981
869	0.9621631931	0.09340157851
870	0.9621843842	0.09333967724
871	0.9621737887	0.09332108915
872	0.9622055754	0.09326366441
873	0.9621949798	0.09323714472
874	0.9621737887	0.09321589777
875	0.9621949798	0.09320248866
876	0.9621843842	0.09319180968
877	0.9622267665	0.0931734382
878	0.9622267665	0.09315839807
879	0.9622373621	0.09314890758
880	0.9622585533	0.09314085224
